9.164746498433e-01+1.072257678006e-01j; 1.641827466114e-01+1.227559599985e-01j; 1.541259493452e-01-7.712619314596e-02j; 8.852801457655e-01+2.180333885650e-01j
9.170220774662e-01+9.845919426703e-02j; 1.650160386744e-01+1.235577431371e-01j; 1.547642154710e-01-7.721055176013e-02j; 8.837276363444e-01+2.189206542332e-01j
9.175270657060e-01+8.964880075204e-02j; 1.658693925937e-01+1.243765617842e-01j; 1.554096680638e-01-7.729683210888e-02j; 8.822041630966e-01+2.197032552757e-01j
9.179882233819e-01+8.079846144407e-02j; 1.667409872252e-01+1.252111170001e-01j; 1.560617256363e-01-7.738471549817e-02j; 8.807107249696e-01+2.203813659622e-01j
9.184042837883e-01+7.191208120986e-02j; 1.676289683765e-01+1.260600772240e-01j; 1.567197986085e-01-7.747388281616e-02j; 8.792482701765e-01+2.209552029039e-01j
9.187741070748e-01+6.299359282016e-02j; 1.685314523794e-01+1.269220807641e-01j; 1.573832899371e-01-7.756401489364e-02j; 8.778176956044e-01+2.214250237855e-01j
9.190966823890e-01+5.404695408459e-02j; 1.694465297147e-01+1.277957383506e-01j; 1.580515957540e-01-7.765479286305e-02j; 8.764198463168e-01+2.217911261153e-01j
9.193711297772e-01+4.507614490464e-02j; 1.703722686826e-01+1.286796357463e-01j; 1.587241060132e-01-7.774589851551e-02j; 8.750555151470e-01+2.220538459950e-01j
9.195967018404e-01+3.608516425445e-02j; 1.713067191117e-01+1.295723364095e-01j; 1.594002051449e-01-7.783701465570e-02j; 8.737254423828e-01+2.222135569145e-01j
9.197727851413e-01+2.707802709886e-02j; 1.722479161001e-01+1.304723842046e-01j; 1.600792727169e-01-7.792782545394e-02j; 8.724303155402e-01+2.222706685720e-01j
9.198989013596e-01+1.805876125904e-02j; 1.731938837794e-01+1.313783061555e-01j; 1.607606841010e-01-7.801801679523e-02j; 8.711707692254e-01+2.222256257233e-01j
9.199747081925e-01+9.031404235607e-03j; 1.741426390969e-01+1.322886152358e-01j; 1.614438111458e-01-7.810727662488e-02j; 8.699473850827e-01+2.220789070619e-01j
9.200000000000e-01+5.070037748470e-17j; 1.750921956070e-01+1.332018131916e-01j; 1.621280228538e-01-7.819529529025e-02j; 8.687606918275e-01+2.218310241326e-01j
9.199747081925e-01-9.031404235607e-03j; 1.760405672652e-01+1.341163933903e-01j; 1.628126860618e-01-7.828176587824e-02j; 8.676111653616e-01+2.214825202790e-01j
9.198989013596e-01-1.805876125904e-02j; 1.769857722178e-01+1.350308436910e-01j; 1.634971661253e-01-7.836638454827e-02j; 8.664992289701e-01+2.210339696290e-01j
9.197727851413e-01-2.707802709886e-02j; 1.779258365785e-01+1.359436493306e-01j; 1.641808276048e-01-7.844885086027e-02j; 8.654252535972e-01+2.204859761172e-01j
9.195967018404e-01-3.608516425445e-02j; 1.788587981873e-01+1.368532958201e-01j; 1.648630349535e-01-7.852886809733e-02j; 8.643895581988e-01+2.198391725475e-01j
9.193711297772e-01-4.507614490464e-02j; 1.797827103421e-01+1.377582718455e-01j; 1.655431532066e-01-7.860614358277e-02j; 8.633924101704e-01+2.190942196954e-01j
9.190966823890e-01-5.404695408459e-02j; 1.806956454968e-01+1.386570721678e-01j; 1.662205486702e-01-7.868038899115e-02j; 8.624340258479e-01+2.182518054524e-01j
9.187741070748e-01-6.299359282016e-02j; 1.815956989196e-01+1.395482005166e-01j; 1.668945896096e-01-7.875132065296e-02j; 8.615145710787e-01+2.173126440124e-01j
9.184042837883e-01-7.191208120986e-02j; 1.824809923033e-01+1.404301724720e-01j; 1.675646469366e-01-7.881865985272e-02j; 8.606341618614e-01+2.162774751003e-01j
9.179882233819e-01-8.079846144407e-02j; 1.833496773213e-01+1.413015183283e-01j; 1.682300948945e-01-7.888213312006e-02j; 8.597928650523e-01+2.151470632441e-01j
9.175270657060e-01-8.964880075204e-02j; 1.841999391232e-01+1.421607859350e-01j; 1.688903117397e-01-7.894147251352e-02j; 8.589906991347e-01+2.139221970899e-01j
9.170220774662e-01-9.845919426703e-02j; 1.850299997620e-01+1.430065435091e-01j; 1.695446804208e-01-7.899641589681e-02j; 8.582276350510e-01+2.126036887604e-01j
9.164746498433e-01-1.072257678006e-01j; 1.858381215478e-01+1.438373824135e-01j; 1.701925892525e-01-7.904670720724e-02j; 8.575035970930e-01+2.111923732562e-01j
9.158862958821e-01-1.159446805172e-01j; 1.866226103206e-01+1.446519198957e-01j; 1.708334325846e-01-7.909209671598e-02j; 8.568184638500e-01+2.096891079002e-01j
9.152586476519e-01-1.246121275014e-01j; 1.873818186366e-01+1.454488017818e-01j; 1.714666114651e-01-7.913234127995e-02j; 8.561720692113e-01+2.080947718236e-01j
9.145934531871e-01-1.332243422087e-01j; 1.881141488623e-01+1.462267051206e-01j; 1.720915342971e-01-7.916720458506e-02j; 8.555642034207e-01+2.064102654947e-01j
